"title";"media_id";"answer_1";"answer_2";"answer_3";"answer_4";"right_answer";"subcategory_id"
"Что означает выражение «не обинуясь»?";0;"без колебаний";"не сомневаясь";"не обращая внимания";"не возвращаясь";1;1
"Чем занимался на Руси стряпчий?";0;"юриспруденцией";"военным делом";"кулинарией";"ремеслом";1;1
"Кого или что в старину называли словом «тать»?";0;"вор";"тесть";"тень";"корм для скота";1;1
"Это заклинание славяне произносили в экстремальных случаях, призывая на помощь своего пращура.";0;"Чур меня!";"Господи упаси!";"Наказуя, наказа мя господь, но смерти не предаде.";"Одно трости: господи, прости!";1;1
"Издавна на Руси известна присказка: «Калужанин поужинат, а туляк ...» А что туляк?";0;"Ляжет и так";"Уснет и так";"пообедает";"поработает и так";1;1
"Как в Древней Руси называли любой документ, а в СССР и России – лишь документ, выдаваемый за успехи в каком-либо деле?";0;"Грамота";"Диплом";"Сертификат";"благодарственное письмо";1;1
" Именные списки населения России 18-19 веков назывались ревизские сказки или песни?";0;"Ревизские сказки";"Ревизские песни";"Ревизские списки";"Ревизские нормы";1;1
"Какая одежда раньше называлась партикулярной?";0;"штатская";"военная";"царская";"женская рабочая";1;1
"Что означало старинное «на закорках»?";0;"На спине";"Ползком";"На заднем дворе";"На облучке";1;1
"Переведите на современный язык слово «гуртом»";0;"Сообща";"Сразу";"Вповалку";"Друг за другом";1;1
"Какое название носит инструмент, применяемый для плетения лаптей?";0;"Кочедык";"Кадык";"Скребок";"Крючок";1;1
"Для чего на Руси точили лясы?";0;"Для перил";"Для колёс";"Для окон";"Для полов";1;1
"Что в старину называли «ветрилом»?";0;"Парус";"Ветряную мельницу";"Бурю";"Флюгер";1;1
"Что является основным инвентарем для игры в бирюльки?
";0;"Соломинки";"Кегли
";"Шары";"Камни
";1;1
"Русский сосуд для питья самобытной формы, не встречающийся ни в одной из других стран мира. Своим силуэтом он напоминает плывущую птицу. Назовите его.
";0;"Ковш";"Чайник";"Кувшин";"Чарка";1;1
"Что такое кулебяка? 
";0;"пирог с рыбой";"славяский праздник";"элемент одежды";"кухонный инвентарь";1;1
"Посватавшись к девушке, жених обязательно дарил ей изделие собственной работы, которое невеста брала на посиделки. Что это? 

";0;"прялка";"кокошник";"корзина";"шкатулка";1;1
"Какой исконно русский напиток иностранцы прозвали «русский глинтвейн»?
";0;"Сбитень
";"Медовуха";"Чай с вареньем ";"Квас";1;1
"Поговорим о легендах мастеров сапожного дела Владимирской области. Что, как гласят местные суеверия, может произойти с девушкой, если она встретит сапожника?
";0;"Никогда не выйдет замуж
";"Купит новые туфли
";"Испытает горе";"Разбогатеет";1;1
"Хохломская роспись имеет три главных цвета. Назовите их.";0;"Красный, желтый, золотой
";"Синий, белый, голубой
";"зеленый, синий, желтый";"Черный, красный, белый";1;1
"Назовите самое главное угощение во время древнерусского праздника Масленица:
";0;"Блины
";"Медовуха";"Мед";"Сбитень";1;1
"Как назывался обряд, проводимый на Троицкую неделю в некоторых регионах нашей страны, когда незамужние девушки гадали, кто первой выйдет замуж?
";0;"Похороны кукушки
";"Проводы русалки
";"Засушить май
";"Сделать шута";1;1
"Банный веник из какого сорта дерева или кустарника изгоняет нечисть?
";0;"Можжевеловый
";"Березовый";"Дубовый";"Еловый";1;1
"Катанки- это:
";0;"валенки";"санки";"лыжи";"бочки для солений";1;1
"Какой предмет на Руси называли ширинкой?
";0;"полотенце";"грабли";"чайник";"ведро";1;1
"Какая известная шаль согревала плечи Людмилы Зыкиной во время исполнения одноименной песни?
";0;"Оренбургский платок";"Павловопосадский платок";"Платок из вологодского кружева
";"Скромненький синий платочек
";1;1
"На какой праздник особенно любили гадать девушки? ";0;"Святки
";"Масленица
";"Крещенский сочельник";"Ночь на Ивана Купала";1;1
"Как назывались бродячие актеры на Руси?
";0;"скоморохи";"сказители";"трубадуры";"пилигримы";1;1
"Праздничные поздравительные зимние песни с пожеланием хозяевам дома хорошего урожая, богатства и счастья:
";0;"колядки";"песни и загадки";"потешки";"частушки";1;1
"Как назывался у древних славян пир во время похоронного обряда?
";0;"Тризна
";"Поминки";"Панихида
";"Лития
";1;1
"Как в славянской мифологии зовут хозяина леса и зверей? ";0;"Леший";"Упырь";"Волколак";"Мавка";1;1
"Как называется русский трехструнный щипковый инструмент?
";0;"Балалайка
";"Гусли";"Лира";"Домра";1;1
"Какую птицу называют «певцом русских полей»?
";0;"Жаворонок
";"Соловей";"Синица";"Тетерев";1;1
"Как в русской рубахе называлась специальная пройма под мышками на рукаве для большого удобства в работе?
";0;"ластовица";"подоплека";"понева
";"епанечка";1;1
"Назовите непременный атрибут женской и мужской одежды на Руси";0;"кушак";"портки";"кафтан";"телогрея";1;1
"По народным поверьям, он – олицетворение темноты. В него мог оборачиваться главный славянский бог Перун, когда хотел появиться на земле. Этот зверь умел говорить человеческим голосом, был наделен мудростью и действовал во многих русских сказках.
";0;"Волк";"Медведь";"Ворон";"Змей";1;1
"Что означает старинное слово «веверица»?
";0;"белка";"ряд";"болезнь";"время года";1;1
"К кому перешел меч-кладенец Святогора? 
";0;"Илья Муромец";"Алёша Попович";"Добрыня Никитич";"Никита Кожемяка";1;1
"Как называется  традиционная теплая обувь, которую носили зимой?
";0;"валенки";"вермилки";"лапти";"калоши";1;1
"Как у древних славян называлась деревянная изба без окон из цельных неошкуренных бревен? 
";0;"сруб";"вотчина";"усадьба";"поместье";1;1
"Что такое «алтын»?
";0;"Старинная русская медная монета
";"Старая русская мера веса";"Русская единица земельной площади
";"Старинная русская мера длины
";1;1
"Она считалась у славян вещей птицей, посвящалась богине весны и предсказывала начало гроз и дождей. ";0;"кукушка
";"ласточка
";"петух
";"синица";1;1
"Эта птица жила до трехсот лет и единственная могла приносить живую и мертвую воду. 
";0;"ворон";"жар-птица";"сокол";"сова";1;1
"Как древние славяне именовали месяц февраль? 
";0;"лютый";"зимец";"полузимник";"студень";1;1
"Как называлась главная нательная одежда у женщин и мужчин длиной ниже колена?
";0;"рубаха";"портки";"Косоворотка";"Душегрея";1;1
" Древние русичи приветствовали друг друга: «Ой ты гой еси...». Чего желали они таким образом?";0;"богатства";"здоровья";"удачи";"благополучия";1;1
" Что в старых пословицах означало число «семь»?";0;"много";"семь";"далеко";"всюду";1;1
"Фамилия поэта Сергея Есенина образована от старославянского слова «есень». А как бы по-русски звучала его фамилия?";0;"осень";"закат";"целебная трава";"письмо, послание ";1;1
"Какие народы входят в армянскую этническую ветвь?";0;"армяне и хемшилы
";"езиды, саамы и армяне";"армяне и агулы";"хемшилы, цахуры и армяне";1;2
"Самоназвание армянского народа";0;"хай";"йыхбы
";"энцы";"карьялайсет
";1;2
"В каком из перечисленных субъектов РФ проживает большое число армян?
";0;"В Ростовской области";"В Ставропольском крае";"В Самарской области";"В Московской области";1;2
"Как называлась самая древняя столица древнего государства Великая Армения? ";0;"Армавир";"Ереван";"Аравия 

";"Араратия
";1;2
"После обручения армянская невеста устраивает девишник, с которого остатки сладостей девушки забирают с собой. Для чего это делается?";0;"Если девушка положит сладости под подушку, ей приснится суженый ";"принеся сладости в дом, девушка приносит богатство";"угостив сладостями родственников, девушка дарит им здоровье";" для крепкой и ""сладкой""  семейной жизни";1;2
"Что используют армяне при письме, вместо обычной точки? 
";0;"Двоеточие
";"точку с запятой";"многоточие";"запятую";1;2
"Какой плод называют армянскими яблоками или армянскими сливами? 
";0;"Абрикосы
";"Нектарины";"алыча";"слива";1;2
"Что изображено на гербе Армении, но не принадлежит этой стране? 
";0;"Гора Арарат";"Виноград";"Национальное армянское блюдо";"Озеро Севан";1;2
"Какую религию в качестве государственной религии первой в мире приняла Армения?
";0;"Христианство";"Ислам";"Буддизм";"Ведийская религия";1;2
"Какому армянскому продукту Уинстон Черчель питал особое почтение? 
";0;"Коньяк";"Бастурма ";"Толма";"Армянские лепешки";1;2
"Необычный налог существует в Армении, который радует дворников, и поборников чистого воздуха? 
";0;"Налог на пыль";"Налог на мусор ";"Налог на воздух 
";"Налог за грязную обувь";1;2
"В какой древней стране было больше 20 императоров –армян? 
";0;"В Византии";"Во Франции";"В Турции";"В Грузии";1;2
"Какая книга в переводе с армянского называется «Божье дыхание или божье вдохновение» ?";0;"Библия";"Конституция";"""Поэтика Аристотеля""";"Свод законов";1;2
"Какое отношение имеет армянский алфавит к религии? 
";0;"он создан монахом ";"он впервые записан в церковной летописи ";"он хранится в одном из храмов Армении 
";"Его впервые использовали при написании церковного свода законов";1;2
"Бренд Франции французы позволили использовать Армении за его отличное качество? 
";0;"коньяк";"сыр";"вино";"виноград";1;2
"Какой знаменитый город Древней Руси был основан армянином и изначально назывался Смбатос?
";0;"Киев";"Суздаль";"Тверь";"Ярославль";1;2
"Какое отношение имеют армяне к русской письменности? 
";0;"Кирилл и Мефодий переняли принципы армянского алфавита ";"Они охраняли первые книги, созданные на Руси 
";"Кирилл и Мефодий имели отношение к армянам 
";"армянский алфавит был создан по образу древнеславянского";1;2
"Что считается главным блюдом Армянской кухни и насчитывает несколько десятков рецептов? 
";0;"шашлык";"Бастурма ";"голубцы в виноградных листях ";"армянская лепешка";1;2
"Какое Древнейшее в мире хранилище находится в Армении? ";0;"Хранилище рукописей
";"Хранилище амфор 
";"Хранилище редких семян";"Хранилище консервированных абрикосов ";1;2
"Какого известнейшего армянского советского актера назвали в честь героя гражданской войны? 
";0;"Мкртчан 
";"Мадоян";"Мартиросян 
";"Джигарханян";1;2
"У какого знаменитого советского артиста, поэта, певца «вторая мама» ( жена отца) была армянкой? 
";0;"Высоцкий";"Никулин";"Розенбаум 
";"Окуджава";1;2
"Какой известный город Армении старше Рима на 29 лет? 
";0;"Ереван 
";"Армавир";"Арарат";"Вайоц Дзор";1;2
"очему обряд сватовства у армян происходил после наступления сумерек?";0;"чтобы сохранить «лицо» жениха перед соседями при отказе";"заканчивались дневные работы";"чтобы жених с невестой не смогли хорошо рассмотреть друг друга";"Чтобы  невеста имела возможность подготовить наряд  ко встрече";1;2
"Какой первый в мире учебник был составлен армянином? 
";0;"Учебник задач по арифметике 
";"Учебник физики ";"Учебник лингвистики 
";"Учебнник по этнополитологии";1;2
"Что обозначает понятие «российские немцы»?
";0;"Верно 2 и 3";"сборное понятие для немецкого меньшинства в России";"репатриантам из СССР и постсоветских государств";"русские иммигранты в Германии";1;3
" Кто из российских монархов официально пригласил немцев в Россию? 

";0;"Екатерина II";"Пётр I ";"Александр I";"Анна Иоанновна ";1;3
"Где изначально селились немцы в ХVIII веке в России?";0;"В Поволожье";"В Сибири";"В Казахстане";"На Северном Кавказе";1;3
"Какие из перечисленных льгот не предоставлялись немцам, приехавшим в Россию?";0;"льготы при прохождении военной службы";" льготы при поступлении в высшие учебные заведения";"льготы при оплате налогов";"торговые льготы
";1;3
"Какие страны оказали продовольственную помощь немцам Поволжья и Украины, страдавшим от голода 1921-1922 года?
";0;"США, Германия, Нидерланды, Швейцария";"Франция, США, Австрия, Испания";"Германия, Швейцария, Австрия, Италия";"Италия, Испания, Германия";1;3
"Как расшифровывается аббревиатура АССР НП?
";0;"Автономная Советская Социал. Республ. Немцев Поволожья
";"Ареальный Союз Социалистических Республик Немцев Поволжья
";" Ассоциация Советских Социалистических Республик Немцев Поволжья";"Административный совет Союза Республик Немцев Поволожья
";1;3
"На территории каких регионов России была расположена АССР НП?
";0;"на части территорий Саратовской и Волгоградской областей
";"на территории Алтайского края
";"на части территорий Воронежской и Пензенской областей
";"на территорий Саратовской области";1;3
"Как назывался административный центр АССР НП?
";0;"Энгельс";" Саратов";"Сталинград";"Баронск";1;3
"В какие части СССР были переселены российские немцы во время Второй мировой войны?";0;"преимущественно в Сибирь и северный Казахстан
";"в Польшу
";"на Кавказ
";"в Киргизию";1;3
"В каких регионах России на сегодняшний день существуют немецкие национальные районы?";0;"в Омской области и Алтайском крае
";"в Саратовской области и Алтайском крае";"в Красноярском крае и Омской области";"в Алтайском крае и в Красноярском крае ";1;3
"Кто такие меннониты?
";0;"одно из течений протестантизма
";"народность в Голландии";"народность в Германии";"самоназвание российских немцев";1;3
"Кем был Иван Фёдорович Крузенштерн?
";0;" адмирал
";"политик";"музыкант";"архитектор";1;3
"Какая из перечисленных немецкоязычных газет издаётся в России?
";0;"Moskauer Deutsche Zeitung";"Rundschau";"Bild";"Deutschе Allgemeine Zeitung (DAZ)";1;3
" Какой головной убор российские немцы одевали невесте после снятия свадебного венка? 
";0;"чепец";"шапка";"платок";"шляпа";1;3
"Что такое “полтерабенд”(“polterabend”)?
";0;"девичник/мальчишник
";"праздник урожая";"поминальный вечер
";"вечер гадания";1;3
"Что представляет собой немецкое блюдо «Krapfne»?
";0;"кусочки теста, обжаренные в масле";"рыбный пирог ";"жаренный карп";"суп с капустой";1;3
"К какому типу обрядов относится обычай «Totenhochzeit» (свадьба/венчание покойников) у немцев Сибири?

";0;"к похоронным обрядам
";"к свадебным обрядам";" к языческим карнавальным обрядам";"поминальный обряд

";1;3
"Как называется кофейный напиток из обжаренных зёрен ячменя, пшеницы и ржи?

";0;"Bohnenkaffee";"Prips";"Kaff";"Krapfne";1;3
"Когда отмечается День памяти и скорби российских немцев?";0;"42975";"42908";"42989";"43054";1;3
"Какая из улиц Ростова-на-Дону носит имя российского учёного немецкого происхождения?
";0;"ул. Зорге";"ул. Фрунзе";"ул. Гастелло";" ул. Баумана";1;3
"Какая из этих аббревиатур принадлежит организации, занимающейся сохранением культурной идентичности и общности российских немцев?
";0;"МСНК";"ФНКА";"АОО ";"ФСТНН";1;3
"Раньше на свадебном столе немцов обязательно была каша (пшеничная, просяная, ячменная). Каша из зерен имела магическое значение, так как содержала в себе зародыши будущей жизни. В настоящее время что подают вместо этого блюда?";0;"рисовую кашу с мясом";"капустный пирог";"манную кашу";"гороховый суп с копченностями
";1;3
"Если парню нравилась девушка, то он мог дать ей понять об этом, поставив перед воротами это:
";0;"березу или другое зеленое деревце
";"корзину с яблоками
";"богато накрытый стол
";"букет, украшенный лентами";1;3
"Что представлял собой венок невесты?
";0;"высокую корону из цветов и листьев";"диадему, украшенную цветными камнями
";"венок из цветных лент
";"маленькая корона, украшенная мехом и перьями
";1;3
"Во многих сёлах, в которых проживают российские немцы , принято было ставить у гроба  покойного свечи, которые горели до тех пор, пока покойник находился в доме. Для чего это делали?";0;"Осветить путь усобшему на тот свет
";"Чтобы защитить усобщего от злых духов
";"Чтобы отогнать мертвую силу от живых
";"отчищают тело светом от грехов

";1;3
"Как называется народ, проживающий на северном склоне Большого Кавказа, танцующий массовый хороводный танец Симд? ";0;"Осетины
";"Черкесы";"Абазины";"Агулы";1;4
"Как наазывают сами себя осетины?";0;"ирон";"осей";"оссети";"адыгэ";1;4
"От какого явыка происходит русское название «осетины»?";0;"грузинский";"иранского";"турецкого";"кабардино-черкесского";1;4
"Ироны (восточные осетины)  подразделяются географически на три основные группы. Какая из представленных групп является лишней?";0;"таты";"тагаурцы";"куртатинцы";"алагирцы";1;4
"Продолжите старинную осетинскую поговорку: «Одинокому живется…";0;"бедно";"вольно";"грустно";"скудно";1;4
"У карелов ЭТО называется Калевала, у якутов – Олонхо, у узбеков Рустамхан, у киргизов – Манас, у калмыков – Джангар, у бурят – Гэсэр. А как ЭТО называется у осетин?";0;"нарты";"ирыстон";"овсы";"тымбыл кафт";1;4
"Что же такое «Иронвандаг»?";0;"Обряд оплакивания умершего";"Обряд посвящения в войны";"Свадебный обряд";"Молитва";1;4
